"site","school","id","wave","male","math","sci"
3,212,4621,2,0,NA,69.82
3,212,4621,3,0,NA,NA
3,212,4621,4,0,NA,NA
3,212,4621,1,0,62.59,64.25
3,212,5431,1,0,NA,NA
3,212,5431,2,0,NA,NA
3,212,5431,3,0,91.17,85.01
3,212,5431,4,0,NA,NA
3,212,5859,1,0,75.77,69.98
3,212,5859,2,0,79.85,73.44
3,212,5859,3,0,NA,NA
3,212,5859,4,0,NA,NA
3,212,6052,1,0,63.95,64.95
3,212,6052,2,0,66.48,71.64
3,212,6052,3,0,67.16,76.91
3,212,6052,4,0,NA,NA
3,212,6134,1,1,NA,40.42
3,212,6134,2,1,NA,NA
3,212,6134,3,1,NA,NA
3,212,6134,4,1,NA,NA
3,212,6284,1,0,74.77,65.53
3,212,6284,2,0,82.15,67.07
3,212,6284,3,0,91.92,87.57
3,212,6284,4,0,NA,NA
3,212,6516,2,1,NA,NA
3,212,6516,3,1,NA,NA
3,212,6516,4,1,NA,NA
3,212,6516,1,1,NA,NA
3,212,6530,1,1,NA,NA
3,212,6530,2,1,NA,NA
3,212,6530,3,1,NA,NA
3,212,6530,4,1,NA,NA
3,212,6642,1,0,67.73,63.56
3,212,6642,2,0,68.91,72.62
3,212,6642,3,0,NA,NA
3,212,6642,4,0,NA,NA
2,214,1349,1,0,NA,38.66
2,214,1349,2,0,NA,NA
2,214,1349,3,0,NA,NA
2,214,1349,4,0,NA,NA
2,214,1389,3,1,NA,NA
2,214,1389,2,1,NA,NA
2,214,1389,4,1,NA,NA
2,214,1389,1,1,45.16,59.69
2,214,1661,1,1,76.45,55.08
2,214,1661,2,1,NA,NA
2,214,1661,4,1,NA,NA
2,214,1661,3,1,NA,NA
2,214,1753,1,1,NA,NA
2,214,1753,3,1,NA,NA
2,214,1753,2,1,NA,NA
2,214,1753,4,1,NA,NA
2,214,2005,2,1,NA,NA
2,214,2005,1,1,NA,NA
2,214,2005,3,1,NA,NA
2,214,2005,4,1,NA,NA
2,214,2191,1,0,NA,NA
2,214,2191,2,0,NA,NA
2,214,2191,3,0,NA,NA
2,214,2191,4,0,NA,NA
2,214,2287,1,0,NA,NA
2,214,2287,3,0,NA,NA
2,214,2287,4,0,NA,NA
2,214,2287,2,0,NA,NA
2,214,2332,3,0,NA,NA
2,214,2332,1,0,39.08,39.25
2,214,2332,2,0,NA,NA
2,214,2332,4,0,NA,NA
2,214,2508,1,0,62.89,67.55
2,214,2508,2,0,NA,NA
2,214,2508,3,0,NA,NA
2,214,2508,4,0,NA,NA
2,214,2659,1,1,NA,NA
2,214,2659,2,1,NA,NA
2,214,2659,4,1,NA,NA
2,214,2659,3,1,NA,NA
2,214,2721,3,0,NA,NA
2,214,2721,4,0,NA,NA
2,214,2721,1,0,NA,NA
2,214,2721,2,0,NA,NA
2,214,2773,4,1,NA,NA
2,214,2773,1,1,81.39,69.04
2,214,2773,2,1,NA,NA
2,214,2773,3,1,86.91,78.2
2,214,3118,1,0,NA,NA
2,214,3118,2,0,NA,NA
2,214,3118,3,0,NA,NA
2,214,3118,4,0,NA,NA
2,214,3339,1,1,NA,NA
2,214,3339,2,1,NA,NA
2,214,3339,3,1,NA,NA
2,214,3339,4,1,NA,NA
2,214,3384,1,0,NA,49.21
2,214,3384,2,0,NA,NA
2,214,3384,4,0,NA,NA
2,214,3384,3,0,NA,NA
2,214,3458,1,0,73.04,64.14
2,214,3458,2,0,NA,NA
2,214,3458,3,0,74.33,NA
2,214,3458,4,0,NA,NA
2,214,3508,1,0,66.68,59.52
2,214,3508,2,0,NA,NA
2,214,3508,3,0,NA,NA
2,214,3508,4,0,NA,NA
2,214,3644,1,0,63.71,72.66
2,214,3644,2,0,NA,NA
2,214,3644,3,0,NA,NA
2,214,3644,4,0,NA,NA
2,214,3647,1,0,NA,NA
2,214,3647,2,0,NA,NA
2,214,3647,3,0,NA,NA
2,214,3647,4,0,NA,NA
2,214,3678,1,1,NA,NA
2,214,3678,2,1,NA,NA
2,214,3678,3,1,NA,NA
2,214,3678,4,1,NA,NA
2,214,4305,1,1,NA,NA
2,214,4305,2,1,NA,NA
2,214,4305,3,1,NA,NA
2,214,4305,4,1,NA,NA
2,214,4358,1,0,NA,54.51
2,214,4358,2,0,NA,NA
2,214,4358,3,0,NA,NA
2,214,4358,4,0,NA,NA
2,214,4476,1,0,NA,NA
2,214,4476,2,0,NA,NA
2,214,4476,3,0,NA,NA
2,214,4476,4,0,NA,NA
2,214,4717,1,1,NA,NA
2,214,4717,2,1,NA,NA
2,214,4717,3,1,NA,NA
2,214,4717,4,1,NA,NA
2,214,4760,4,1,NA,NA
2,214,4760,1,1,NA,NA
2,214,4760,2,1,NA,NA
2,214,4760,3,1,NA,NA
2,214,5078,1,0,62.91,60.39
2,214,5078,2,0,NA,NA
2,214,5078,3,0,NA,NA
2,214,5078,4,0,NA,NA
2,214,5597,1,1,NA,NA
2,214,5597,2,1,NA,NA
2,214,5597,3,1,NA,NA
2,214,5597,4,1,NA,NA
2,214,5729,1,0,76.65,NA
2,214,5729,2,0,NA,NA
2,214,5729,3,0,NA,NA
2,214,5729,4,0,NA,NA
2,214,5874,3,0,NA,NA
2,214,5874,1,0,NA,NA
2,214,5874,2,0,NA,NA
2,214,5874,4,0,NA,NA
2,214,6389,2,0,NA,62.16
2,214,6389,3,0,NA,NA
2,214,6389,4,0,NA,NA
2,214,6389,1,0,62.5,63.99
2,214,6415,1,0,54.91,NA
2,214,6415,2,0,NA,NA
2,214,6415,3,0,NA,NA
2,214,6415,4,0,NA,NA
2,214,6448,1,1,52.89,NA
2,214,6448,2,1,NA,NA
2,214,6448,3,1,NA,NA
2,214,6448,4,1,NA,NA
2,214,6816,1,0,69.33,67.77
2,214,6816,2,0,63.7,67.86
2,214,6816,4,0,NA,NA
2,214,6816,3,0,NA,NA
1,215,1072,1,1,66.64,70.32
1,215,1072,2,1,75.08,74.75
1,215,1072,3,1,74.7,76.47
1,215,1072,4,1,70.44,77.7
1,215,1124,1,1,73.38,65.57
1,215,1124,2,1,73.72,68.47
1,215,1124,3,1,79.46,80.57
1,215,1124,4,1,NA,NA
1,215,1132,1,0,72.58,73.38
1,215,1132,2,0,75.49,79.33
1,215,1132,3,0,76.15,80.97
1,215,1132,4,0,79.65,82.22
1,215,1175,4,0,74.98,55.03
1,215,1175,3,0,NA,52.84
1,215,1175,1,0,67.08,60.06
1,215,1175,2,0,65.49,55.66
1,215,1218,1,0,51.56,43.4
1,215,1218,2,0,58.1,50.2
1,215,1218,3,0,58.81,54.3
1,215,1218,4,0,NA,NA
1,215,1222,1,0,54.37,63.47
1,215,1222,2,0,60.67,NA
1,215,1222,3,0,63.32,63.58
1,215,1222,4,0,57.18,64.41
1,215,1942,1,0,54.78,55.66
1,215,1942,2,0,57.98,57.62
1,215,1942,3,0,61.16,60.53
1,215,1942,4,0,NA,NA
1,215,1955,1,0,63.08,67.55
1,215,1955,2,0,72.93,68.71
1,215,1955,3,0,79.44,66.9
1,215,1955,4,0,75.07,67.33
1,215,2235,1,1,91.57,91.21
1,215,2235,2,1,92.12,90.76
1,215,2235,3,1,86.15,93.13
1,215,2235,4,1,95.39,95.56
1,215,2554,1,0,73.82,64.65
1,215,2554,2,0,74.08,67.34
1,215,2554,3,0,74.98,71.37
1,215,2554,4,0,87.72,74.61
1,215,2556,4,1,NA,NA
1,215,2556,1,1,55.81,38.56
1,215,2556,2,1,72.73,53.54
1,215,2556,3,1,NA,NA
1,215,2689,3,1,NA,NA
1,215,2689,4,1,NA,NA
1,215,2689,1,1,73.58,67.38
1,215,2689,2,1,81.26,78.25
1,215,2719,1,0,71.4,NA
1,215,2719,2,0,73.06,71.27
1,215,2719,3,0,77.44,75.9
1,215,2719,4,0,80.99,80.98
1,215,2903,1,0,69.17,61.58
1,215,2903,2,0,75.52,60.28
1,215,2903,3,0,79.36,64.58
1,215,2903,4,0,76.39,NA
1,215,2991,1,0,55.69,44.45
1,215,2991,2,0,59.73,50.25
1,215,2991,3,0,NA,NA
1,215,2991,4,0,58.63,56.03
1,215,3549,1,0,62.25,62.3
1,215,3549,2,0,66.92,59.1
1,215,3549,3,0,67.12,57.83
1,215,3549,4,0,65.77,76.19
1,215,3555,1,1,41.04,59.98
1,215,3555,2,1,50.73,61.85
1,215,3555,3,1,NA,NA
1,215,3555,4,1,68.39,76.56
1,215,3601,2,0,68.12,68.85
1,215,3601,3,0,71.15,72.97
1,215,3601,4,0,72,NA
1,215,3601,1,0,59.99,63.26
1,215,3610,1,1,76.5,72.24
1,215,3610,2,1,83.14,80.16
1,215,3610,3,1,83.8,82.73
1,215,3610,4,1,89.1,88.15
1,215,3770,1,0,68.07,55.3
1,215,3770,2,0,79.19,52.19
1,215,3770,3,0,84.81,60.53
1,215,3770,4,0,86.07,67.93
1,215,4230,1,1,53.55,43.77
1,215,4230,2,1,54.53,55.06
1,215,4230,4,1,NA,NA
1,215,4230,3,1,57,64.31
1,215,4297,1,1,46.34,55
1,215,4297,2,1,52.44,58.68
1,215,4297,3,1,49.61,54.36
1,215,4297,4,1,NA,NA
1,215,4363,1,0,78.2,68.87
1,215,4363,2,0,75.94,72.99
1,215,4363,3,0,85.76,75.18
1,215,4363,4,0,80.11,NA
1,215,4554,1,0,52.86,60.55
1,215,4554,2,0,61.56,53.18
1,215,4554,3,0,57.1,NA
1,215,4554,4,0,66.2,57.99
1,215,4637,1,0,70.19,NA
1,215,4637,2,0,73.16,72.38
1,215,4637,3,0,78.44,72.25
1,215,4637,4,0,NA,NA
1,215,4834,1,0,69.01,66.26
1,215,4834,2,0,76.69,73.98
1,215,4834,3,0,84.68,81.58
1,215,4834,4,0,NA,NA
1,215,5072,3,1,75.65,73.63
1,215,5072,4,1,80.7,66.86
1,215,5072,1,1,61.54,59.98
1,215,5072,2,1,68.65,69.85
1,215,5566,1,1,59.34,53.43
1,215,5566,2,1,72.73,53.54
1,215,5566,3,1,65.31,NA
1,215,5566,4,1,71.49,64.32
1,215,5576,1,0,62.44,65.68
1,215,5576,2,0,72.21,65.58
1,215,5576,3,0,73.38,70.1
1,215,5576,4,0,75.13,68.56
1,215,5831,1,1,59.19,61.88
1,215,5831,2,1,61.7,67.04
1,215,5831,3,1,65.73,66.43
1,215,5831,4,1,NA,NA
1,215,5833,1,1,62.3,66.35
1,215,5833,2,1,81.04,73.46
1,215,5833,3,1,81.87,67.82
1,215,5833,4,1,77.98,74.16
1,215,5836,4,1,86.47,87.12
1,215,5836,1,1,NA,69.19
1,215,5836,2,1,83.67,77.58
1,215,5836,3,1,90.93,84.86
1,215,5842,1,0,74.6,NA
1,215,5842,2,0,85.83,67.91
1,215,5842,3,0,84.19,73.71
1,215,5842,4,0,85.1,70.58
1,215,5873,1,1,NA,NA
1,215,5873,2,1,52.07,61.37
1,215,5873,3,1,NA,NA
1,215,5873,4,1,NA,NA
1,215,5879,1,0,83.38,69.77
1,215,5879,2,0,87.34,73.98
1,215,5879,3,0,89.81,83.32
1,215,5879,4,0,89.02,91.5
1,215,5894,1,0,71.36,63.08
1,215,5894,2,0,73.6,63.24
1,215,5894,3,0,76.59,71.62
1,215,5894,4,0,83.9,NA
1,215,6458,1,1,52.43,44.41
1,215,6458,2,1,55.31,55.25
1,215,6458,3,1,60.65,50.95
1,215,6458,4,1,52.13,NA
1,215,6463,1,1,83.24,64.2
1,215,6463,2,1,93.71,77.26
1,215,6463,3,1,95.48,83.33
1,215,6463,4,1,96.02,85.53
1,215,6854,3,0,NA,NA
1,215,6854,4,0,NA,NA
1,215,6854,1,0,55.39,59.95
1,215,6854,2,0,57.76,59.13
1,215,6863,3,0,87.29,76.33
1,215,6863,4,0,83.77,79.86
1,215,6863,1,0,74.56,64.12
1,215,6863,2,0,79.74,70.4
1,216,1045,1,1,83.25,76.64
1,216,1045,2,1,88.97,82.7
1,216,1045,3,1,95.35,87.7
1,216,1045,4,1,97.56,85.92
1,216,1065,3,0,70.62,71.67
1,216,1065,1,0,60.02,61.7
1,216,1065,2,0,72.4,66.54
1,216,1065,4,0,65.2,68.14
1,216,1319,1,0,53.05,56.76
1,216,1319,2,0,NA,51.73
1,216,1319,3,0,57.29,49.62
1,216,1319,4,0,NA,NA
1,216,1355,2,1,88.96,81.15
1,216,1355,3,1,95.35,85.6
1,216,1355,4,1,NA,NA
1,216,1355,1,1,77.93,76.93
1,216,1570,1,0,66.1,63.35
1,216,1570,2,0,71.15,68.65
1,216,1570,3,0,72.18,72.99
1,216,1570,4,0,NA,NA
1,216,1636,1,1,52.62,52.46
1,216,1636,4,1,61.05,62.44
1,216,1636,2,1,NA,NA
1,216,1636,3,1,NA,NA
1,216,1910,1,1,NA,46.47
1,216,1910,2,1,NA,55.38
1,216,1910,3,1,67.73,58.47
1,216,1910,4,1,NA,NA
1,216,2198,1,1,67.37,69.38
1,216,2198,2,1,77.97,78.45
1,216,2198,3,1,82.31,80.26
1,216,2198,4,1,NA,NA
1,216,2316,1,1,61.55,69.54
1,216,2316,2,1,73.41,75.75
1,216,2316,3,1,75.41,71.16
1,216,2316,4,1,NA,NA
1,216,2384,1,0,57.25,60.81
1,216,2384,2,0,63.94,63.93
1,216,2384,3,0,59.97,60.06
1,216,2384,4,0,55.7,54.1
1,216,2400,1,0,57.12,56.21
1,216,2400,2,0,61.22,64.71
1,216,2400,3,0,64.05,NA
1,216,2400,4,0,62.97,63.15
1,216,2439,1,1,72.56,67.66
1,216,2439,2,1,66.01,70.97
1,216,2439,3,1,77.94,77.6
1,216,2439,4,1,NA,NA
1,216,2635,1,0,NA,61.32
1,216,2635,2,0,63,70.3
1,216,2635,4,0,68.67,75.3
1,216,2635,3,0,64.07,73.66
1,216,2673,1,0,68.52,68.98
1,216,2673,2,0,76.14,69.12
1,216,2673,3,0,80.88,77.24
1,216,2673,4,0,77.94,71.58
1,216,2886,3,0,88.99,86.51
1,216,2886,4,0,84.8,86.39
1,216,2886,1,0,76.09,78.52
1,216,2886,2,0,85.03,84.22
1,216,3030,1,1,68.93,64.26
1,216,3030,2,1,76.6,76.12
1,216,3030,4,1,84.54,84.4
1,216,3030,3,1,78.37,79.1
1,216,3102,1,0,51.01,41.16
1,216,3102,2,0,58.43,49.66
1,216,3102,3,0,NA,NA
1,216,3102,4,0,51.84,38.04
1,216,3183,1,1,60.7,68.31
1,216,3183,2,1,71,71.57
1,216,3183,3,1,74.02,78.38
1,216,3183,4,1,NA,NA
1,216,3330,2,1,62.95,66.51
1,216,3330,3,1,NA,NA
1,216,3330,4,1,NA,NA
1,216,3330,1,1,56.5,67.9
1,216,3636,1,1,52.76,NA
1,216,3636,2,1,62.05,50.24
1,216,3636,3,1,NA,NA
1,216,3636,4,1,NA,NA
1,216,3965,3,1,69.27,62.46
1,216,3965,4,1,64.85,58.96
1,216,3965,1,1,59.45,58.62
1,216,3965,2,1,66.86,65.36
1,216,4369,1,1,61.87,60.48
1,216,4369,2,1,62.29,62.29
1,216,4369,3,1,86.5,67.88
1,216,4369,4,1,NA,NA
1,216,4503,1,1,80.21,73.01
1,216,4503,2,1,93.59,78.27
1,216,4503,3,1,84.16,89.37
1,216,4503,4,1,NA,NA
1,216,4617,1,1,66.76,58.83
1,216,4617,2,1,68.17,58.3
1,216,4617,3,1,73.03,62.2
1,216,4617,4,1,81.06,71.15
1,216,4653,1,1,74.62,71.43
1,216,4653,2,1,77.17,79.71
1,216,4653,3,1,NA,NA
1,216,4653,4,1,84.98,90.92
1,216,4733,1,1,51.22,44.96
1,216,4733,2,1,57.25,43.53
1,216,4733,3,1,65.93,61.11
1,216,4733,4,1,NA,60.24
1,216,5139,1,0,60.39,58.82
1,216,5139,2,0,67.59,63
1,216,5139,3,0,69.55,58.61
1,216,5139,4,0,65.9,53.21
1,216,5197,1,0,66.85,61.87
1,216,5197,2,0,77.65,62.26
1,216,5197,3,0,83.89,61.25
1,216,5197,4,0,79.98,62.83
1,216,5739,1,0,65.13,62.53
1,216,5739,2,0,78.6,63.15
1,216,5739,3,0,77.97,64.52
1,216,5739,4,0,81.94,65.88
1,216,5898,1,0,66.65,57.23
1,216,5898,2,0,73.65,62.7
1,216,5898,3,0,76.18,69.54
1,216,5898,4,0,77.84,67.41
1,216,6032,4,1,91.86,94.5
1,216,6032,1,1,74.26,82.04
1,216,6032,2,1,84.83,84.21
1,216,6032,3,1,87.32,87.08
1,216,6066,1,1,34.4,40.96
1,216,6066,2,1,45.49,53.65
1,216,6066,3,1,NA,NA
1,216,6066,4,1,NA,NA
1,216,6087,1,1,86.18,72.24
1,216,6087,2,1,80.89,70.96
1,216,6087,3,1,87.3,84.89
1,216,6087,4,1,NA,NA
1,216,6253,1,0,70.19,58.23
1,216,6253,2,0,81.96,67.12
1,216,6253,3,0,80.62,73.28
1,216,6253,4,0,86.09,75.7
1,216,6596,2,1,65.33,61.02
1,216,6596,3,1,75.53,60.52
1,216,6596,1,1,58.97,50.5
1,216,6596,4,1,NA,NA
4,217,1541,3,1,79.64,47.12
4,217,1541,4,1,NA,53.57
4,217,1541,1,1,52.22,63.93
4,217,1541,2,1,NA,NA
4,217,1953,1,1,67.13,64.26
4,217,1953,2,1,81.42,65.85
4,217,1953,3,1,NA,NA
4,217,1953,4,1,80.25,68.16
4,217,2006,3,1,69.13,72.9
4,217,2006,1,1,NA,48.43
4,217,2006,2,1,64.37,66.18
4,217,2006,4,1,64.77,73.52
4,217,2467,1,1,66.84,71.68
4,217,2467,2,1,77.97,74.63
4,217,2467,4,1,81.9,79.88
4,217,2467,3,1,NA,NA
4,217,3671,1,1,66.38,67.29
4,217,3671,2,1,67.99,73.99
4,217,3671,3,1,74.71,74.7
4,217,3671,4,1,76.35,67.93
4,217,3750,1,0,44.98,39.25
4,217,3750,2,0,45.75,38.6
4,217,3750,3,0,54.52,45.24
4,217,3750,4,0,54.51,NA
4,217,3967,1,0,69.29,70.22
4,217,3967,2,0,73.95,72.07
4,217,3967,3,0,78.7,81.66
4,217,3967,4,0,77.75,75.23
4,217,4786,1,1,53.69,57.61
4,217,4786,2,1,64.76,64.47
4,217,4786,3,1,67.27,66.46
4,217,4786,4,1,64.91,69.42
4,217,4809,1,0,84.11,69.22
4,217,4809,2,0,86.71,76.01
4,217,4809,3,0,86.49,79.01
4,217,4809,4,0,92.39,84.09
4,217,4958,1,0,73.4,71.14
4,217,4958,3,0,83.7,74.49
4,217,4958,4,0,81.68,78.15
4,217,4958,2,0,78.65,70.66
4,217,5213,1,0,74.21,72.85
4,217,5213,2,0,79.38,73.03
4,217,5213,3,0,85.28,76.82
4,217,5213,4,0,89.92,81.58
4,217,5246,1,0,70.03,75.33
4,217,5246,2,0,77,74.46
4,217,5246,3,0,85.33,78.66
4,217,5246,4,0,80.33,79.43
4,217,5299,2,1,43.85,NA
4,217,5299,3,1,43.36,61.17
4,217,5299,4,1,NA,NA
4,217,5299,1,1,40.38,NA
4,217,5352,2,0,NA,61.36
4,217,5352,3,0,78.58,70.94
4,217,5352,4,0,NA,67.29
4,217,5352,1,0,72.51,61.98
4,217,5395,1,0,70.18,73.86
4,217,5395,2,0,78.13,74.36
4,217,5395,3,0,77.56,77.68
4,217,5395,4,0,88,84.99
4,217,5474,1,0,79.76,76.32
4,217,5474,2,0,78.94,81.43
4,217,5474,3,0,NA,NA
4,217,5474,4,0,84.54,81.9
4,217,5527,1,0,73.04,67.49
4,217,5527,2,0,79.31,72.52
4,217,5527,3,0,78.29,74.67
4,217,5527,4,0,84.61,78.67
4,217,5592,1,0,56.36,58.04
4,217,5592,2,0,69.05,66.88
4,217,5592,3,0,70.81,60.77
4,217,5592,4,0,65.01,62.59
4,217,6264,1,0,74.09,69.58
4,217,6264,2,0,78.39,71.17
4,217,6264,3,0,75.48,74.21
4,217,6264,4,0,NA,NA
4,217,6387,1,0,47.73,49.95
4,217,6387,2,0,55.83,47.47
4,217,6387,3,0,58.33,NA
4,217,6387,4,0,56.9,48.69
4,217,6506,4,1,73.92,79.25
4,217,6506,1,1,61.64,70.75
4,217,6506,2,1,84.33,67.13
4,217,6506,3,1,80.64,74.42
4,217,6728,1,0,45.68,54.34
4,217,6728,2,0,46.22,46.54
4,217,6728,3,0,54.27,49.57
4,217,6728,4,0,46.59,56.76
4,217,6784,1,0,57.96,44.92
4,217,6784,2,0,64,60.09
4,217,6784,3,0,69.72,67.58
4,217,6784,4,0,68.94,66.58
4,217,6920,1,1,60.76,72.28
4,217,6920,2,1,71.02,74.1
4,217,6920,3,1,75.29,81.45
4,217,6920,4,1,77.37,81.31
4,217,6937,1,0,65.27,67.78
4,217,6937,2,0,69.69,73.03
4,217,6937,3,0,76.03,76.74
4,217,6937,4,0,80.45,77.1
4,218,1178,4,1,79.82,80.64
4,218,1178,2,1,78.69,78.03
4,218,1178,3,1,78.25,79.94
4,218,1178,1,1,NA,75.44
4,218,1288,1,0,NA,44.63
4,218,1288,2,0,NA,60.5
4,218,1288,3,0,NA,NA
4,218,1288,4,0,NA,NA
4,218,1392,4,1,60.34,55.3
4,218,1392,1,1,55.03,63.92
4,218,1392,2,1,63.94,61.89
4,218,1392,3,1,67.36,62.96
4,218,1928,1,1,NA,63.05
4,218,1928,2,1,63.66,68.12
4,218,1928,3,1,67.61,62.27
4,218,1928,4,1,66.03,62.11
4,218,2011,1,1,NA,46.45
4,218,2011,2,1,72.06,50.43
4,218,2011,3,1,NA,64.45
4,218,2011,4,1,60.65,NA
4,218,2695,1,0,50.25,55.31
4,218,2695,2,0,66.18,65.18
4,218,2695,3,0,66.13,64.27
4,218,2695,4,0,NA,65.22
4,218,3151,2,1,70.34,75.24
4,218,3151,3,1,NA,NA
4,218,3151,1,1,NA,37.79
4,218,3151,4,1,NA,NA
4,218,3308,1,1,34.03,37.51
4,218,3308,2,1,35.48,NA
4,218,3308,3,1,40.7,46.86
4,218,3308,4,1,34.48,29.43
4,218,3524,4,1,NA,NA
4,218,3524,1,1,NA,37.5
4,218,3524,2,1,NA,44.79
4,218,3524,3,1,NA,NA
4,218,3594,1,1,33.86,NA
4,218,3594,2,1,38.94,39.17
4,218,3594,3,1,33.04,NA
4,218,3594,4,1,NA,NA
4,218,3855,1,1,NA,51.85
4,218,3855,2,1,71.08,73.69
4,218,3855,3,1,64.7,NA
4,218,3855,4,1,NA,69.91
4,218,4119,1,1,NA,65.82
4,218,4119,2,1,73.45,67.27
4,218,4119,3,1,79.35,75.27
4,218,4119,4,1,85.39,79.69
4,218,4506,1,0,40.12,NA
4,218,4506,2,0,47.86,NA
4,218,4506,3,0,54.21,49.87
4,218,4506,4,0,NA,66
4,218,4866,1,1,NA,33.8
4,218,4866,2,1,52.67,45.92
4,218,4866,3,1,NA,41.52
4,218,4866,4,1,NA,39.54
4,218,5003,1,0,NA,38.06
4,218,5003,2,0,50.21,40.63
4,218,5003,3,0,32.67,44.06
4,218,5003,4,0,36.44,NA
4,218,5019,1,0,NA,65.14
4,218,5019,2,0,72.73,71.8
4,218,5019,3,0,78.86,72.53
4,218,5019,4,0,NA,NA
4,218,5021,2,1,57.46,NA
4,218,5021,3,1,65.12,NA
4,218,5021,4,1,NA,NA
4,218,5021,1,1,59.1,55.36
4,218,5039,1,0,36.11,51.13
4,218,5039,2,0,42.14,41.84
4,218,5039,3,0,NA,46.61
4,218,5039,4,0,NA,NA
4,218,5098,1,0,46.84,58.44
4,218,5098,2,0,63.15,62.7
4,218,5098,3,0,73.74,65.14
4,218,5098,4,0,NA,NA
4,218,5143,1,0,52.94,46.31
4,218,5143,2,0,65.74,46.67
4,218,5143,3,0,66.82,54.92
4,218,5143,4,0,67.73,61.64
4,218,5501,4,0,65.09,NA
4,218,5501,1,0,NA,61.81
4,218,5501,2,0,65.18,71.8
4,218,5501,3,0,63.23,NA
4,218,5567,1,1,36.26,NA
4,218,5567,2,1,40.74,NA
4,218,5567,3,1,62.85,62.01
4,218,5567,4,1,NA,NA
4,218,5621,1,1,43.84,33.32
4,218,5621,2,1,37.89,52.15
4,218,5621,3,1,39.86,46.31
4,218,5621,4,1,33.01,40.66
4,218,5821,1,0,NA,NA
4,218,5821,2,0,NA,40.12
4,218,5821,3,0,61.01,64.57
4,218,5821,4,0,NA,NA
4,218,5841,1,1,51.97,67.82
4,218,5841,2,1,65.79,71.61
4,218,5841,3,1,73.91,80.12
4,218,5841,4,1,84,75.68
4,218,5924,1,1,39.09,NA
4,218,5924,2,1,38.79,NA
4,218,5924,3,1,57.6,NA
4,218,5924,4,1,NA,NA
4,218,6100,1,1,36.37,47.92
4,218,6100,2,1,49.86,67.56
4,218,6100,3,1,63.14,63.92
4,218,6100,4,1,69.31,NA
4,218,6349,1,1,33.47,NA
4,218,6349,2,1,36.12,50.72
4,218,6349,3,1,64.18,54.76
4,218,6349,4,1,NA,NA
4,218,6565,4,1,62.3,69.63
4,218,6565,2,1,63.76,76.81
4,218,6565,1,1,53.61,67.32
4,218,6565,3,1,66.99,70.81
4,218,6721,4,1,NA,NA
4,218,6721,1,1,42.16,NA
4,218,6721,2,1,NA,79.71
4,218,6721,3,1,43.16,NA
4,218,6799,1,0,NA,59.83
4,218,6799,2,0,66.07,63.4
4,218,6799,3,0,72.55,67.13
4,218,6799,4,0,67.31,NA
2,219,1012,1,0,56.72,52.09
2,219,1012,2,0,57.33,55.72
2,219,1012,3,0,57.25,53.25
2,219,1012,4,0,65.05,60.13
2,219,1142,1,1,60.37,63.01
2,219,1142,2,1,64,64.36
2,219,1142,3,1,67.98,64.23
2,219,1142,4,1,67.57,68.36
2,219,1479,1,1,61.2,57.65
2,219,1479,2,1,71.51,60.65
2,219,1479,3,1,77.01,68.53
2,219,1479,4,1,76.93,71.89
2,219,1807,3,0,63.47,67.03
2,219,1807,4,0,NA,NA
2,219,1807,1,0,NA,57.02
2,219,1807,2,0,68.27,66.07
2,219,1809,1,0,66.86,59.14
2,219,1809,2,0,65.09,63.27
2,219,1809,3,0,72.63,69.55
2,219,1809,4,0,71.39,63.21
2,219,1850,1,1,61.66,76.22
2,219,1850,2,1,68.34,77.72
2,219,1850,3,1,65.22,79.27
2,219,1850,4,1,75.16,84.02
2,219,1885,1,0,48.33,58.73
2,219,1885,2,0,51.67,53
2,219,1885,3,0,NA,NA
2,219,1885,4,0,NA,NA
2,219,2004,1,0,70.74,63.04
2,219,2004,2,0,69.12,67.62
2,219,2004,3,0,76.82,75.11
2,219,2004,4,0,NA,NA
2,219,2632,1,0,NA,46.53
2,219,2632,2,0,NA,51.09
2,219,2632,3,0,NA,NA
2,219,2632,4,0,73.13,56.17
2,219,2641,1,1,67.7,70.85
2,219,2641,2,1,73.7,71.29
2,219,2641,3,1,NA,NA
2,219,2641,4,1,79.43,73.23
2,219,2798,1,1,63.5,59.25
2,219,2798,2,1,63.07,63.17
2,219,2798,3,1,67.21,65.18
2,219,2798,4,1,69.47,61.38
2,219,2800,1,0,66.7,66.61
2,219,2800,2,0,66.83,62.38
2,219,2800,3,0,68.96,73.25
2,219,2800,4,0,78.29,74.37
2,219,3194,1,1,64.24,59.7
2,219,3194,2,1,76.59,83.55
2,219,3194,3,1,74.2,NA
2,219,3194,4,1,76.22,NA
2,219,3273,1,1,73,65.25
2,219,3273,2,1,65.42,60.86
2,219,3273,3,1,62.47,66.69
2,219,3273,4,1,73.99,NA
2,219,3401,1,1,59.13,62.3
2,219,3401,2,1,68.75,66.6
2,219,3401,3,1,66.51,69.07
2,219,3401,4,1,69.09,74.57
2,219,3489,1,1,56.56,52.43
2,219,3489,2,1,65.68,60.18
2,219,3489,3,1,68.09,66.78
2,219,3489,4,1,67.88,63.06
2,219,3590,1,0,69.28,64.7
2,219,3590,2,0,72.27,68.28
2,219,3590,3,0,74.66,72.03
2,219,3590,4,0,78.45,74.28
2,219,3737,2,1,90.82,76.85
2,219,3737,3,1,87.28,82.38
2,219,3737,4,1,95.35,91.2
